[info] DATA_STD (clamped): 1.3303 (raw std: 1.3303)
[info] u_HFHR stats: min=-3.54604, max=3.70565, mean=-4.56397e-09, any_nan=False, any_inf=False
[info] sigma probe: min=0.00654378, max=151.294, any<=0=False, any_nan=False
[jit] sigma stats: min=0.014466794207692146, max=151.88571166992188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011910798028111458, max=151.10182189941406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01477742101997137, max=151.987060546875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007759596221148968, max=150.06285095214844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005654491949826479, max=149.67430114746094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013137733563780785, max=151.46627807617188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011431902647018433, max=150.9659881591797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010340179316699505, max=150.6708984375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014663568697869778, max=151.94981384277344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013218327425420284, max=151.49111938476562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0063965111039578915, max=149.79925537109375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004854800179600716, max=149.55514526367188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0038343823980540037, max=149.4276123046875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004862498492002487, max=149.55628967285156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013544241897761822, max=151.59201049804688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014268550090491772, max=151.82162475585938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014759214594960213, max=151.9811248779297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006836803629994392, max=149.87969970703125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013786728493869305, max=151.66807556152344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013383904471993446, max=151.54212951660156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.002124122576788068, max=149.2784881591797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013817081227898598, max=151.6776123046875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01184369157999754, max=151.08265686035156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012711008079349995, max=151.33697509765625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004804483614861965, max=149.54823303222656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013691985048353672, max=151.63827514648438, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006662107538431883, max=149.84718322753906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013592821545898914, max=151.607177734375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00472874753177166, max=149.5378875732422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012186114676296711, max=151.18161010742188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011310609988868237, max=150.93215942382812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00696679437533021, max=149.904296875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009011500515043736, max=150.34112548828125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011061452329158783, max=150.86351013183594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00893286895006895, max=150.32269287109375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01240028440952301, max=151.24447631835938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003851936897262931, max=149.42953491210938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00472874753177166, max=149.5378875732422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014160390943288803, max=151.786865234375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008935933001339436, max=150.3234100341797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009755012579262257, max=150.5215301513672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006095972843468189, max=149.74697875976562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003965027164667845, max=149.44244384765625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014042697846889496, max=151.7493133544922, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006328876130282879, max=149.78732299804688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009425181895494461, max=150.44015502929688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008938229642808437, max=150.32391357421875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01375117152929306, max=151.6568603515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012839263305068016, max=151.37557983398438, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011075245216488838, max=150.86732482910156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0118581373244524, max=151.08676147460938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013892517425119877, max=151.70155334472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011687840335071087, max=151.0382080078125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0074686454609036446, max=150.0029754638672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005757743027061224, max=149.69085693359375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012439918704330921, max=151.25624084472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014925939962267876, max=152.03607177734375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010165689513087273, max=150.62564086914062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011179317720234394, max=150.8959503173828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013629768043756485, max=151.61875915527344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005146040581166744, max=149.59666442871094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010455365292727947, max=150.70108032226562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011470434255897999, max=150.97679138183594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005945590790361166, max=149.72169494628906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006711449008435011, max=149.85626220703125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014456192031502724, max=151.88223266601562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009331390261650085, max=150.41734313964844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01058254949748516, max=150.7345733642578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014574253931641579, max=151.92068481445312, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011850601062178612, max=151.0845947265625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011718864552676678, max=151.0469970703125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011387485079467297, max=150.95359802246094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005310507956892252, max=149.62106323242188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00989776011556387, max=150.55734252929688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0069985100999474525, max=149.91036987304688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013973409309983253, max=151.7271728515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012671294622123241, max=151.32505798339844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00507002929225564, max=149.58560180664062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00937504880130291, max=150.42796325683594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008296473883092403, max=150.17811584472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011364264413714409, max=150.94712829589844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011581700295209885, max=151.00802612304688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00717084389179945, max=149.9436798095703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008416622877120972, max=150.2047576904297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013660320080816746, max=151.6282958984375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007116846274584532, max=149.9331817626953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01180973183363676, max=151.0729217529297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009617260657250881, max=150.4872283935547, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014617005363106728, max=151.93467712402344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005322333425283432, max=149.6228485107422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010300894267857075, max=150.66062927246094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00726160267367959, max=149.96156311035156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01470617949962616, max=151.96380615234375, any_nan=False, any_le0=False
